Index,Time_2,Time_3,Time_4,Time_6,Time_8,Time_12,Time_16,Time_1
0,887.3090563000005,898.8258923000249,485.87801090002176,556.3814696999907,628.5159679000208,580.0046345999872,926.2629417999997,1542.1236026000115
1,780.098662400007,707.1485503999866,495.6112445000035,375.06297570001334,312.8278472000093,276.0376030000043,245.94311130000278,1557.6635807999992
2,877.9878269000037,642.5536438999989,503.17958880000515,378.627615800011,326.09365620001336,281.56062569998903,257.7873811000027,1642.8035409000004
3,791.1152497000003,754.557902200002,499.6382544999942,379.23458600000595,322.9868248999992,283.4488099000009,258.4419418000034,1720.1842860000033
4,830.000888199982,616.6146316000086,550.014456600009,375.13618490000954,323.36465519998455,283.45730410001124,258.435415999993,1548.2620456999866
Mean,833.3023366999987,723.9401240800041,506.86431106000674,412.8885664200061,382.75779028000545,340.90179545999854,389.3741584000003,1602.2074112000003
Median,830.000888199982,707.1485503999866,499.6382544999942,378.627615800011,323.36465519998455,283.4488099000009,258.435415999993,1557.6635807999992
Std_dev,43.668752276957164,99.94694362683401,22.337342872750447,71.7671708387091,122.96195809632289,119.58229025582483,268.4866144068327,69.38430380959232
