Index,Time_12,Time_8,Time_4
0,0.7102207999996608,0.7345800000002782,1.0737522999988869
1,0.7099051000004692,0.8815049000004365,1.1166606999977375
2,0.7028653000015765,0.9109738999977708,1.0845735000002605
3,0.6941197999985889,0.8814729999976407,1.166020099997695
4,0.7005749000018113,0.8906529999985651,1.1106751000006625
5,0.7073184000000765,0.9043764999987616,1.099290900001506
6,0.6969288000000233,0.9325112999977136,1.0682993000009446
7,0.7087480000009236,1.055673900002148,1.0812729999997828
8,0.7069034000014653,0.9950504999978875,1.0959441999984847
9,0.7050192999995488,0.9600289999980305,1.0692562000003818
10,0.7083589999965625,0.9401593000002322,1.1908918999979505
11,0.7078677999998035,1.003332699998282,1.1187088000006042
12,0.7574640999991971,0.8726580999973521,1.0958661999975448
13,0.7212762999988627,0.9045220000007248,1.1235869000011007
14,0.7343954000025406,0.973424799998611,1.1827287999985856
15,0.7125214000006963,1.0142192000021168,1.1289905999983603
16,0.7122973999976239,1.0306569999993371,1.109462500000518
17,0.7077146999981778,1.0359272999994573,1.0957624000002397
18,0.7142134000023361,1.0352405999983603,1.1044434999967052
19,0.7115905000027851,1.0429970000004687,1.0756507999976748
20,0.713282500000787,1.0198319000010088,1.1248727999991388
21,0.706635800001095,1.0091523000010056,1.070445400000608
22,0.7362337000013213,1.0202619999981835,1.0849428000001353
23,0.7130975000000035,1.0279475999996066,1.0869396999987657
24,0.7672066999984963,1.019221500002459,1.0999955000006594
Mean,0.7146704000001773,0.9638551719994575,1.1063613559993974
Median,0.7099051000004692,0.9950504999978875,1.099290900001506
Std_dev,0.016819847527938404,0.07519864902085545,0.03253431906936876
