Index,Time_16,Time_12,Time_8,Time_6,Time_4,Time_3,Time_2,Time_1
0,0.06793150000157766,0.057737299997825176,0.0743761000012455,0.08492520000072545,0.10471890000189887,0.13560720000168658,0.20335239999985788,0.39041379999980563
1,0.057403599999815924,0.06692259999908856,0.07761229999960051,0.08900340000036522,0.1052603000025556,0.14299810000011348,0.21075130000099307,0.3995054999977583
2,0.057795299999270355,0.06822180000017397,0.08884410000246135,0.097031600002083,0.10924019999947632,0.1368681000021752,0.20442309999998542,0.4169068999981391
3,0.057454300000244984,0.06850110000232235,0.08993049999844516,0.10753990000011981,0.10556070000166073,0.13497859999915818,0.2045417000008456,0.39457519999996293
4,0.06273499999952037,0.06964850000076694,0.08863790000032168,0.10675860000264947,0.10336680000182241,0.13494300000093062,0.2036526000010781,0.3952252999988559
5,0.05673169999863603,0.06810100000075181,0.09356889999980922,0.10447470000144676,0.10467630000130157,0.13460039999699802,0.20210919999954058,0.40941360000215354
6,0.05818829999770969,0.0690537000009499,0.08869330000015907,0.09743279999747756,0.10731999999916297,0.13463730000148644,0.20430730000225594,0.43915649999689776
7,0.06324590000076569,0.07400450000204728,0.09247709999908693,0.08777350000309525,0.10867039999720873,0.1342423999994935,0.20612310000069556,0.42599089999930584
8,0.05867769999895245,0.07027079999897978,0.09567599999718368,0.10019489999831421,0.10512329999983194,0.13804979999986244,0.21209509999971488,0.4097254999978759
9,0.0588556000002427,0.07394449999992503,0.08469680000052904,0.10021729999789386,0.10095219999857363,0.13510440000027302,0.2023503000018536,0.39553959999830113
10,0.05692370000178926,0.06938459999946645,0.09217070000158856,0.10099830000035581,0.10297019999779877,0.13450590000138618,0.2041386999990209,0.40714520000256016
11,0.06858830000055605,0.06960660000186181,0.0877050999988569,0.08810900000025867,0.10298899999907007,0.1338002000011329,0.20283190000191098,0.4048694999983127
